Cust_ID,Acc_IBAN,Acc_BBAN,Acc_Open_Dt,Balance,Acc_Status,Acc_Type
4185,GB90EMIC89482763544524,GDJY66571183273954,2001-03-22,$50.57,Active,Credit
291,GB83VYSJ52094207716710,OVWN34297715684777,2010-08-29,"$74,111.13",Closed,Current
7497,GB17OCSO08226852523762,DLFO12501444293678,2000-09-04,$669.14,Active,Loan
7497,GB26RRMJ41734703010562,SZPN32742192244415,2010-09-05,$0.03,Active,Credit
7497,GB13JBDZ14742645466984,DAGC95804976124339,2006-02-14,$0.71,Closed,Credit
7497,GB44JGQL62388927630899,QBKK57949810142431,2004-09-26,"$8,806.36",Active,Credit
7497,GB24NSWP26988129259296,DSGB46418900231629,2003-11-07,"$42,608.08",Active,Credit
7497,GB94LUTN64366968371097,XTLC33791838727953,2010-05-25,"$29,502.18",Active,Loan
5138,GB89HWWF65316323796452,XXIJ65333626432055,2020-07-29,$4.37,Active,Credit
5138,GB55EUBW28357638227892,OBYK70722957501390,2016-06-28,"$9,303.34",Active,Savings
5138,GB71WATB62039637068814,CNYI31535786833617,2000-08-01,$71.79,Closed,Savings
5138,GB95MFAB11791136540989,ECIO75023530042907,2008-12-23,$9.55,Dormant,Current
5138,GB50YVPQ85154040065079,ILSD64565655384730,2000-08-21,"$15,938.34",Closed,Loan
5138,GB80LFHY28992477234213,BILF99746302842649,2011-10-24,"$62,583.94",Active,Current
5138,GB88HZML86556643814157,ZWEN11312338518343,2016-06-07,$3.05,Active,Current
5138,GB91ERPR14321458058025,QGIZ13973195094230,2014-11-06,"$3,458.95",Active,Current
5138,GB66PDTH63400958945089,RUWZ79859362958827,2019-06-12,$521.51,Active,Current
5138,GB88ASMH77426033611415,CGPL79642074019058,2016-07-22,$361.59,Dormant,Credit
5138,GB40MQJI52901371534726,WDUW52982987338672,2011-05-07,"$9,146.30",Active,Savings
5138,GB14UGRQ87272778598032,BTQI48107460470877,2011-02-11,"$1,340.04",Dormant,Loan
5138,GB95CWKM76986095224292,SQKU76849011333458,2018-06-20,$9.38,Freezed,Savings
5138,GB64OYDT59938965298978,FRMH38105024670259,2013-11-12,$555.18,Active,Savings
5138,GB30DMMJ57956712777232,DJEM67759235592966,2004-11-11,$2.01,Active,Current
7862,GB72RKCZ94259390685666,OVDQ07415175866189,2000-01-08,$16.65,Active,Loan
7862,GB46BXTF52749754152707,LTOF96438459569996,2004-07-18,$952.09,Active,Loan
7862,GB86ZNIL30539813642069,XYZD63037583837731,2005-02-05,"$8,267.04",Closed,Credit
7862,GB25LUJM96816743064979,AVUK51318606943281,2008-03-25,$82.83,Freezed,Current
7862,GB84SPMV55925497283417,LZRG38626044107445,2010-09-28,"$49,916.98",Active,Loan
7862,GB95EIDF58790892634095,BNYB90390213866511,2002-11-07,"$15,486.71",Active,Credit
7862,GB47UYNC54800521358058,APZU00207236203280,2017-03-16,$733.44,Freezed,Loan
7862,GB60HSHK11015766755027,GCER03687907864072,2017-03-12,"$3,442.03",Dormant,Savings
7862,GB39CRKE65076925773599,PGCG70561626986426,2008-04-23,"$17,388.77",Active,Loan
7862,GB43YAVS38131926734991,RIUQ16150874697757,2000-12-01,"$48,700.91",Dormant,Credit
7862,GB02SCRH26942349974424,LKZV93717436606061,2003-04-03,"$7,933.14",Closed,Savings
7862,GB82HRWN33082495343089,OZGU50278768022371,2010-11-16,"$5,624.49",Active,Current
7862,GB64WCPI83056678564484,BCRA08515037819344,2018-02-13,$3.33,Active,Savings
7862,GB25VKSJ00516597758220,AHPU23500758600802,2014-08-15,"$8,016.51",Active,Credit
7862,GB24MSHD23447943408239,RCHP88830370202737,2019-06-26,$5.77,Closed,Savings
7862,GB35BISV43298448116681,YIMQ63069805735859,2017-02-20,$15.29,Dormant,Loan
7862,GB19YLUT44677666412888,TBWB37674491041138,2006-03-04,$966.03,Closed,Loan
7862,GB06TSNZ05268405000353,XSKH27615012116762,2017-08-26,$7.23,Active,Current
7862,GB14CGBG99258846172690,KPAR34593268944168,2003-11-02,"$4,706.14",Closed,Current
7862,GB97LFSP50043898269797,YULC45396510703141,2015-03-22,"$46,311.16",Dormant,Loan
7862,GB92GHLP95868464479100,SINB41963853271861,2007-02-24,$401.58,Active,Credit
7862,GB26SAMB21217539241654,UTHX40294558596725,2003-07-28,$39.63,Dormant,Loan
7862,GB96UKSR13366291334646,CHLV53058154901427,2010-05-23,$48.13,Active,Current
7862,GB09BZUB66406101904006,IJCR19291183902851,2015-02-26,$944.77,Active,Credit
7862,GB98RTRY27119063330113,CZEY92524874380435,2009-01-11,"$80,544.68",Closed,Savings
7862,GB18YUZZ37585590666976,GMPK40924344235281,2005-08-31,"$40,460.31",Freezed,Loan
7862,GB91KEAG36627488065306,DPKT13420400144566,2013-04-17,$283.06,Freezed,Loan
7862,GB26KFDU35655239361698,EUVT81967549717616,2020-07-08,"$78,314.19",Active,Savings
5703,GB52VWMD71042573345322,UPGP22540241788363,2015-03-23,"$20,516.49",Active,Savings
5703,GB65UPLG12106159512548,YDTU03296027678758,2011-09-07,$5.82,Freezed,Current
5703,GB51DREK62205433470848,VXVO71416311516663,2016-10-11,$149.02,Active,Loan
5703,GB40FRIK69463357520424,IIIY96311043880581,2007-01-19,$9.14,Closed,Loan
5703,GB93HZXZ89616776610340,RKHT81777899799739,2016-10-27,"$76,243.02",Active,Current
5703,GB89HSVU22623698020092,ZDRR09006967305069,2019-11-28,"$73,502.67",Freezed,Loan
5703,GB24DMZJ04326925380566,WWHK12386040196916,2016-04-02,$529.06,Active,Credit
5703,GB63AHCL27818178570282,QRRB91131699906596,2006-09-09,$888.48,Freezed,Savings
5703,GB93OGWP26480723712691,VAPR45704044324381,2007-12-03,"$2,485.61",Active,Savings
5703,GB07HNYP44811766325104,VGUH76108221268837,2002-03-30,"$7,125.51",Active,Credit
8323,GB69WIXM24849084827360,WWGJ94197294150226,2011-08-31,$601.25,Dormant,Loan
8323,GB84NALW19959527198727,EXSN07545710054693,2019-11-03,"$36,545.19",Closed,Credit
8323,GB87MPRJ73650762945313,MHSW19149064562569,2004-03-18,"$1,331.72",Active,Credit
8323,GB28VTFL04321857919950,RZXX72572170769107,2017-03-27,$29.01,Active,Savings
8323,GB51BKDD67695499903438,SCDS27290106551567,2018-03-14,$9.53,Freezed,Savings
8323,GB57AXUQ70800125778162,TDBG12707682902611,2007-10-30,$415.25,Active,Savings
8323,GB79SBVQ87192957282752,JPNY65676301458054,2006-09-05,$881.94,Active,Savings
8323,GB69BWFW45534964590742,KPCT92091630434166,2014-10-22,"$1,363.16",Active,Current
8323,GB25VIGA74701539836361,ICYW03480189423334,2007-05-25,$5.54,Dormant,Current
8323,GB56FIDJ28297666381165,YCCH71072566572990,2002-07-06,$42.90,Active,Savings
8323,GB15UWUV14032696517916,NDLZ37201382849732,2001-03-15,"$97,241.98",Dormant,Current
8323,GB34UPXT01276436421170,MPDI46188659112437,2016-12-09,$5.04,Active,Savings
8323,GB52JWFU26231623275991,ZSVG37393346488349,2008-05-21,$69.18,Active,Loan
8323,GB86AYWZ60644588813515,PTTZ27305176270073,2004-01-13,"$5,879.99",Dormant,Loan
8323,GB32BZHQ61918194060986,HTRW36037388865871,2006-11-04,$1.75,Active,Credit
8323,GB31XGZY01868939567546,FGRL69284596864590,2019-10-08,$6.81,Active,Current
8323,GB32XPYX16843322575744,NBJS76321362498734,2008-08-20,"$36,342.23",Closed,Savings
8323,GB05YBOK59350231562316,JGHQ53094497848665,2006-09-13,$3.44,Active,Savings
8323,GB18SKIS52609210703837,DAXE51134697060517,2011-11-26,$8.16,Closed,Loan
8323,GB70XKLN85593144203547,WJGK76704517594939,2011-01-13,$299.51,Freezed,Loan
8323,GB25EFDX89812666079461,HTCG54037665827218,2009-08-18,"$4,182.07",Active,Loan
8323,GB40FNNJ96671241177479,ZOVS75960038180255,2003-07-04,$11.48,Active,Loan
8323,GB73KRHZ42706123077855,GAWG42125100914469,2011-08-23,$0.24,Dormant,Current
8323,GB06QUSX97543089512752,PKEL19833822942249,2001-07-28,"$3,163.70",Freezed,Loan
8323,GB85TRNO12721647085860,BGGW26448302236097,2009-10-29,"$14,992.43",Active,Loan
8323,GB33QJYW94909242477974,CNDW80563118722867,2021-02-01,"$65,701.09",Active,Credit
8323,GB89APDE21036036318348,XIRW09569535586737,2007-02-23,$8.57,Freezed,Loan
8323,GB07QTRZ39621196934901,ZULT66326333400687,2006-06-03,"$1,644.63",Closed,Savings
3588,GB07PEVM44849268190574,HDOR29822550773129,2007-06-14,"$4,270.62",Active,Current
3588,GB03TQCZ60890287448871,WVLK49578360556132,2017-02-20,$21.82,Closed,Current
3588,GB69USAA39502897918558,UPRX74858203451726,2003-01-26,$263.88,Active,Savings
3588,GB45KZDV09220222423990,LHFI15299111819363,2006-10-15,"$22,333.23",Active,Savings
3588,GB81TFKK68982958426712,RLVD19858596963701,2015-06-13,$92.71,Closed,Savings
3588,GB30IYYF57430760438193,XCAO95141123380713,2008-05-02,$375.22,Dormant,Savings
3588,GB72IIUT48432200727215,CPEM20838219622545,2012-09-23,"$38,360.13",Freezed,Credit
3588,GB35LNGC43287179740650,NHJF89961323854096,2005-06-17,"$4,231.73",Freezed,Savings
3588,GB38IHGX13267119649849,ZGJK97293801898604,2002-07-06,"$1,206.80",Dormant,Savings
