Cust_ID,Bal_OutStanding,Acc_Number,Card_Number,Card_Sec_Code,Card_Provider,Expiry_Dt,Credit_Limit,Limit_Utilized,Status,Default,Due_Date
486,"$7,604.87",EJEY19489241157815,345139332871151,947,JCB 16 digit,02/24,$52.09,"$76,848.33",Closed,N,2021-09-08
486,$975.93,NKTU38778408016097,180014841858395,965,VISA 13 digit,03/23,"$2,112.20","$24,775.15",Freezed,N,2021-09-11
7867,$233.04,BDZE30989101399161,4456208709162,972,JCB 15 digit,03/27,"$2,428.07","$3,594.59",Active,Y,2021-09-13
7867,$75.25,LDBT03217300869141,4579230225848,769,VISA 19 digit,09/24,$408.42,$466.10,Freezed,Y,2021-09-05
6967,$73.37,OCIW27878900754706,3544217610471424,776,JCB 16 digit,09/21,$64.55,$4.22,Active,N,2021-09-08
6967,"$36,069.60",GRUC20665030089131,4124000348559090,8236,VISA 19 digit,10/22,$5.90,"$24,568.24",Dormant,N,2021-09-14
468,$90.42,NBJK22961113306016,3505550824926941,451,JCB 16 digit,10/25,"$81,256.09","$6,109.79",Active,N,2021-08-28
468,$4.65,RQJO79361534926351,3511801320407528,446,American Express,03/25,"$1,701.72",$9.42,Active,N,2021-09-08
468,$861.18,CWAQ73176430392137,4586880918916346,602,Maestro,11/22,$9.92,"$7,418.30",Freezed,N,2021-09-03
468,"$8,551.71",MLRE19729668757738,180076993002486,234,Maestro,11/25,$718.53,"$1,537.51",Closed,N,2021-08-28
5035,"$99,933.18",ZONV60754151150552,4611264862964512,341,Discover,09/22,$4.68,$6.44,Freezed,Y,2021-09-11
5035,"$7,841.26",AHLC92303104509322,4580660657351,489,VISA 19 digit,12/23,"$46,714.54","$72,983.81",Active,N,2021-09-08
5035,$1.61,ODPL42035574485291,4121418927626623755,671,VISA 16 digit,05/27,"$61,014.48","$36,447.59",Active,N,2021-08-31
5035,$6.20,DRSJ26223583324560,213157173407975,738,Maestro,12/21,$8.32,$71.16,Active,Y,2021-09-10
9073,$857.63,EXPB93057608116050,4272852327566763,949,Discover,02/22,"$88,697.74",$2.50,Active,Y,2021-09-11
