Acc_BBAN,Acc_IBAN,Account_Opened_Date,Balance,Customer_Id,Deposit_Type,Maturity_Amt,Principal_Amt,Status,Tenure
DVYN03693610633283,GB50VFVX85805793699604,9/2/1979,"$43,605.20 ",72665,Fixed Deposit,$32.44 ,$648.75 ,Loan against TD,1-year
FAJA44909414808043,GB68KVHP56561038459937,31-05-2021,"$69,026.40 ",129124,Recurring Deposit,"$4,605.20 ","$92,104.00 ",Matured,4-years
VAGE07589777836146,GB15ODTP73005001655692,14-01-2023,$3.65 ,129124,Recurring Deposit,$100.58 ,"$2,011.63 ",Pre-Matured,2-years
ENBD31658749833277,GB26YVPY53107950590019,2/4/1971,$529.60 ,196254,Recurring Deposit,$366.15 ,"$7,323.03 ",Matured,4-years
XFQG10532634859004,GB48VQZQ32738760551634,16-08-1994,"$40,278.53 ",159818,Recurring Deposit,$29.26 ,$585.12 ,Loan against TD,1-year
JKVC68106807862158,GB94TOMF00529505241317,14-01-2023,$8.51 ,181889,Recurring Deposit,"$4,436.37 ","$88,727.48 ",Loan against TD,4-years
XFEZ45336629476938,GB33SAOQ84837974939603,27-05-1979,$8.22 ,75462,Recurring Deposit,$294.87 ,"$5,897.36 ",Pre-Matured,3-years
EUXI76525460107295,GB32GJTM14587953985436,30-08-2018,$92.94 ,37899,Recurring Deposit,$49.79 ,$995.74 ,Loan against TD,1-year
ECBS17491306907680,GB61KAML49283276982608,6/8/2006,$8.25 ,37899,Recurring Deposit,$481.81 ,"$9,636.14 ",Matured,4-years
LDDQ49018372546541,GB44XSOX20362895286340,20-11-1988,$8.36 ,178439,Fixed Deposit,"$2,235.26 ","$44,705.23 ",Matured,1-year
HCAN21647117622218,GB39LJFP60000820571276,8/1/1992,$7.90 ,178439,Fixed Deposit,$127.53 ,"$2,550.68 ",Pre-Matured,4-years
IITL47439990256207,GB76ZVVP72467567116434,10/7/2017,$140.82 ,118635,Recurring Deposit,"$3,834.32 ","$76,686.45 ",Pre-Matured,4-years
LCGD24949270904477,GB45CMOK10833864727876,30-01-1986,$1.67 ,118635,Fixed Deposit,$77.19 ,"$1,543.76 ",Pre-Matured,1-year
XIVT18837300999544,GB65YPAN65366405939471,29-02-1980,$11.75 ,5851,Fixed Deposit,"$4,535.91 ","$90,718.28 ",Pre-Matured,1-year
RYZV98257521323443,GB76VYYN58362406953182,19-01-2027,"$1,922.72 ",5851,Recurring Deposit,"$2,360.89 ","$47,217.71 ",Loan against TD,4-years
ZMJF11216381722244,GB65AUFK49142170060757,25-05-1977,"$2,661.52 ",187814,Recurring Deposit,$468.94 ,"$9,378.82 ",Pre-Matured,2-years
AOPJ20160266059170,GB18TEXX57126476644387,26-10-2011,"$34,434.20 ",187814,Fixed Deposit,$4.27 ,$85.37 ,Pre-Matured,5-years
JKVO21295277534750,GB46BFHM15819006841514,21-07-2015,$843.17 ,197705,Recurring Deposit,"$4,265.96 ","$85,319.21 ",Loan against TD,1-year
LLQY68380989296489,GB83AMQK03058344637101,5/8/1970,"$4,763.56 ",124230,Recurring Deposit,$0.04 ,$0.86 ,Loan against TD,5-years
NJDQ40726361126415,GB76GNQP22841723482424,18-09-1978,$824.49 ,124230,Recurring Deposit,$4.40 ,$87.91 ,Pre-Matured,2-years
PYDF95839958303519,GB52VXSD35612121428725,30-06-1987,$434.06 ,134627,Recurring Deposit,$0.24 ,$4.73 ,Loan against TD,5-years
OBSO28854177614811,GB83RNFY72458667399353,12/4/1973,$28.07 ,25999,Recurring Deposit,$0.66 ,$13.10 ,Matured,1-year
IUIP26827770247951,GB70RDSU05387780870330,26-11-1978,"$58,458.44 ",123191,Fixed Deposit,$0.06 ,$1.19 ,Matured,3-years
KYZX03202644871301,GB73IOFG65874212704417,1/7/2008,$983.38 ,123191,Recurring Deposit,$4.45 ,$88.94 ,Matured,1-year
JSVL44394030542171,GB66JIMP23495465992190,16-12-1976,$3.91 ,152830,Fixed Deposit,$497.46 ,"$9,949.12 ",Loan against TD,5-years
YKLN03370909562698,GB30NRSI62979019785172,29-03-1995,$66.92 ,6200,Recurring Deposit,$0.22 ,$4.46 ,Matured,3-years
FUQO92412641866334,GB11UEDJ03186567706026,1/9/2001,$2.33 ,199809,Fixed Deposit,$406.65 ,"$8,133.07 ",Loan against TD,2-years
WVQC07555462839944,GB95EWLP53927474577688,29-09-1998,$20.82 ,199809,Fixed Deposit,"$1,422.81 ","$28,456.10 ",Matured,3-years
UDTB97351854130544,GB03TIBO61047878132598,17-04-1999,$1.22 ,67347,Recurring Deposit,"$4,457.95 ","$89,159.01 ",Pre-Matured,5-years
UXRE83441165552662,GB53ZGGF63577332248895,23-01-2022,$2.28 ,67347,Recurring Deposit,$375.18 ,"$7,503.59 ",Matured,3-years
UXCF64945923528378,GB65XFMK49734607062390,29-07-1972,"$8,637.33 ",68373,Recurring Deposit,$2.64 ,$52.74 ,Pre-Matured,1-year
ZOVE11448491429619,GB17EKJU73907677322406,26-12-2016,$3.37 ,177116,Fixed Deposit,$0.29 ,$5.88 ,Pre-Matured,3-years
CHIL19279070094076,GB83RAPG68174586731144,11/7/1970,"$5,159.81 ",177116,Fixed Deposit,$0.43 ,$8.51 ,Pre-Matured,4-years
EFIH74293065646088,GB22XOPK14837271369906,20-11-1991,$87.52 ,114122,Recurring Deposit,$0.40 ,$8.06 ,Loan against TD,4-years
DMUM26940752458332,GB80PMAO84256096125153,6/9/1998,$20.74 ,114122,Fixed Deposit,$0.23 ,$4.53 ,Matured,3-years
AFLG82621272477718,GB37YLTJ47023805404523,23-09-1995,$50.22 ,33090,Recurring Deposit,$46.26 ,$925.18 ,Pre-Matured,2-years
MHMQ78108043526615,GB53SGHY63093816983299,11/1/1977,"$62,428.62 ",33090,Fixed Deposit,$2.25 ,$44.94 ,Pre-Matured,1-year
UKUM24770833732423,GB28WUJI15914587231351,9/9/2004,$5.00 ,28585,Fixed Deposit,$0.38 ,$7.51 ,Matured,3-years
QFPQ24747813595733,GB23WJKI96692004283995,10/9/2011,$7.46 ,14881,Recurring Deposit,$0.28 ,$5.61 ,Loan against TD,3-years
ZYHC68659498116293,GB31ZHQA95107468236566,7/7/1984,"$33,731.90 ",14881,Fixed Deposit,$31.93 ,$638.53 ,Matured,2-years
PLBA92296631222840,GB14OFWG75130396621020,13-01-2002,$8.18 ,162844,Recurring Deposit,$39.26 ,$785.22 ,Matured,2-years
TNST25649243641544,GB10SHJZ25766405854709,6/5/1995,$512.99 ,107736,Fixed Deposit,$18.45 ,$369.09 ,Pre-Matured,4-years
GHLY57761266453906,GB12BGJE28676220280305,22-01-1980,"$96,122.07 ",117033,Recurring Deposit,$0.21 ,$4.27 ,Matured,5-years
WMKK72266484351902,GB21WQYV01264878245157,9/3/1971,$0.39 ,36911,Recurring Deposit,$30.32 ,$606.34 ,Matured,3-years
BVSO74943270417134,GB76SZCT15416705065839,26-03-2026,"$47,729.95 ",125262,Recurring Deposit,$307.70 ,"$6,153.98 ",Pre-Matured,3-years
IJNE27970220997664,GB58CVCA97332326155186,11/11/2004,$34.43 ,125262,Recurring Deposit,$519.57 ,"$10,391.49 ",Matured,1-year
QOLD71720935052482,GB49IOUH98116833874472,22-03-2007,$9.84 ,171744,Fixed Deposit,$1.99 ,$39.84 ,Pre-Matured,2-years
KPSQ83093055133786,GB98CQAR65708724403707,7/8/2005,"$72,073.46 ",171744,Recurring Deposit,$1.61 ,$32.11 ,Loan against TD,4-years
BCKG14868672320160,GB50DOTK16400983917205,2/8/2002,"$6,762.58 ",64611,Fixed Deposit,$4.83 ,$96.53 ,Pre-Matured,1-year
ZBXK83889951111188,GB31QBPZ53965200155742,20-06-2012,$984.01 ,64611,Fixed Deposit,$0.87 ,$17.43 ,Loan against TD,1-year
DEGB30108710094359,GB74LNKW72582886823210,23-08-2013,"$93,028.23 ",63038,Fixed Deposit,"$3,538.27 ","$70,765.40 ",Matured,4-years
FVRI97240497476824,GB52DPXS50781035872351,25-12-1972,$5.11 ,199317,Fixed Deposit,$484.28 ,"$9,685.58 ",Loan against TD,4-years
SAMJ44575432953999,GB22KTKR29106574368521,19-09-2018,"$8,701.02 ",199317,Fixed Deposit,$234.67 ,"$4,693.32 ",Matured,4-years
OGQP57577304113452,GB44RZXU64197809438734,23-07-1981,$17.12 ,13260,Fixed Deposit,$65.32 ,"$1,306.38 ",Pre-Matured,5-years
