Cust_ID,KYC_Status,Passport_Number,SSN,State_ID,Last_KYC_Dt,Cust_Risk_Category,Next_KYC_Dt
4185,Active,J9-0772259c,034-51-6010,MI,2020-11-10,Low,2020-11-10
291,Active,g6-3399040p,710-27-3992,NE,2021-05-30,Medium,2021-05-30
7497,Active,m4-1775446l,194-41-0289,WA,2020-11-11,Medium,2020-11-11
5138,Active,M7-3727798q,640-92-1726,TX,2020-12-29,Low,2020-12-29
7862,Active,y6-5643506K,051-12-3590,FL,2021-02-09,Prohibited,2021-02-09
5703,Active,Z9-8712738i,821-46-9796,OK,2020-10-05,Low,2020-10-05
8323,Active,t5-9403840M,740-14-8770,IA,2020-09-10,Low,2020-09-10
3588,Lapsed,u6-3497308n,401-35-3270,CO,2021-07-26,Prohibited,2021-07-26
5116,Active,Y0-609400x,824-24-7183,CT,2021-06-01,High,2021-06-01
9299,Lapsed,N0-0068984Y,463-59-3587,ME,2021-08-08,Prohibited,2021-08-08
468,Active,g5-0864927C,897-76-1536,MS,2021-03-02,Prohibited,2021-03-02
8047,Active,w0-5006893r,790-65-8987,MD,2021-02-08,Medium,2021-02-08
2251,Active,W0-8191941N,187-89-2038,AR,2021-07-28,Prohibited,2021-07-28
4444,Active,r3-9968858c,827-44-9571,IA,2020-12-20,Low,2020-12-20
3391,Active,p2-1281650g,189-10-4252,UT,2020-12-08,High,2020-12-08
6124,Active,d9-4633790E,731-97-7097,MT,2021-01-22,Medium,2021-01-22
254,Lapsed,z7-1328553H,311-27-2183,MD,2021-04-17,High,2021-04-17
4700,Active,B3-3127507e,112-88-3987,CO,2020-12-10,Medium,2020-12-10
7071,Active,c4-9388042A,655-27-5075,AZ,2021-01-19,Prohibited,2021-01-19
3712,Active,Z6-2799050S,259-07-1753,OK,2021-04-06,Medium,2021-04-06
109,Lapsed,Q4-6972274d,836-19-8915,DC,2020-10-22,High,2020-10-22
3615,Active,e6-5837473M,512-34-2207,AR,2021-04-25,Low,2021-04-25
9979,Lapsed,p8-3544896I,086-15-3292,ME,2020-10-11,Low,2020-10-11
6339,Active,V4-4658376B,838-80-8276,WI,2020-08-30,Low,2020-08-30
2180,Active,g1-4435242n,255-29-2154,PA,2020-09-19,Prohibited,2020-09-19
4153,Active,A8-2533973A,464-26-8143,VA,2020-10-30,Medium,2020-10-30
9457,Lapsed,e4-8567615p,895-80-8121,IN,2020-09-09,Low,2020-09-09
9072,Lapsed,Z7-1219589E,106-47-6952,NC,2020-12-25,Prohibited,2020-12-25
3269,Lapsed,z4-4068586Z,558-23-0023,MD,2021-07-27,Prohibited,2021-07-27
2053,Active,B9-2063258b,420-83-9357,OH,2021-04-17,High,2021-04-17
6392,Active,Q6-0475458B,625-17-9705,IL,2021-01-12,Medium,2021-01-12
9250,Lapsed,N0-1029380L,727-17-6394,RI,2021-03-17,Low,2021-03-17
7870,Active,G2-5629162p,378-93-8694,MS,2021-02-21,Medium,2021-02-21
5917,Active,j7-3144782W,558-26-3346,VT,2021-07-14,Medium,2021-07-14
7694,Lapsed,r2-0073171p,368-29-8187,CO,2021-02-09,Low,2021-02-09
2212,Active,Z8-0674941U,833-82-0818,WA,2021-07-01,Medium,2021-07-01
504,Lapsed,w2-0862751c,794-53-9908,VA,2020-11-10,Prohibited,2020-11-10
9818,Lapsed,q0-7831501u,699-60-0689,MD,2021-01-26,Prohibited,2021-01-26
6491,Lapsed,n6-7726177d,554-42-3299,MA,2020-09-16,High,2020-09-16
6938,Active,O8-1831802I,323-21-0467,SC,2021-01-09,Medium,2021-01-09
5652,Active,d5-4399160z,334-63-1199,NE,2021-06-18,Low,2021-06-18
