Loan ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Customer Id,Direct_debit_status,Acc_IBAN,Acc_BBAN
14dd8831-6af5-400b-83ec-68e61888a048,Fully Paid,445412,Short Term,709,1167493,8 years,Home Mortgage,Home Improvements,5214.74,17.2,,6,1,228190,416746,1,0,109431,Yes,GB77BEKP85108114321951,DZEO73686758765150
4771cc26-131a-45db-b5aa-537ea4ba5342,Fully Paid,262328,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,33295.98,21.1,8,35,0,229976,850784,0,0,17692,Yes,GB62QYAZ05133954313389,AKML18842042541303
4eed4e6a-aa2f-4c91-8651-ce984ee8fb26,Fully Paid,99999999,Short Term,741,2231892,8 years,Own Home,Debt Consolidation,29200.53,14.9,29,18,1,297996,750090,0,0,18057,No,GB02NDIJ13326012923589,WCXG88711319696828
77598f7b-32e7-4e3b-a6e5-06ba0d98fe8a,Fully Paid,347666,Long Term,721,806949,3 years,Own Home,Debt Consolidation,8741.9,12,,9,0,256329,386958,0,0,71031,Yes,GB31LFAC39388236141938,WWGV47546835245615
d4062e70-befa-4995-8643-a0de73938182,Fully Paid,176220,Short Term,,,5 years,Rent,Debt Consolidation,20639.7,6.1,,15,0,253460,427174,0,0,78850,Yes,GB18EFPE69167475140335,QVOZ42574794211950
89d8cb0c-e5c2-4f54-b056-48a645c543dd,Charged Off,206602,Short Term,7290,896857,10+ years,Home Mortgage,Debt Consolidation,16367.74,17.3,,6,0,215308,272448,0,0,113118,Yes,GB07YIYV22229412974557,FUKH23588553579553
273581de-85d8-4332-81a5-19b04ce68666,Fully Paid,217646,Short Term,730,1184194,< 1 year,Home Mortgage,Debt Consolidation,10855.08,19.6,10,13,1,122170,272052,1,0,81148,Yes,GB38URQH16325550773068,BOLK50282138353147
db0dc6e1-77ee-4826-acca-772f9039e1c7,Charged Off,648714,Long Term,,,< 1 year,Home Mortgage,Buy House,14806.13,8.2,8,15,0,193306,864204,0,0,129532,Yes,GB23KFTI80390010437486,BGXV05022431087504
8af915d9-9e91-44a0-b5a2-564a45c12089,Fully Paid,548746,Short Term,678,2559110,2 years,Rent,Debt Consolidation,18660.28,22.6,33,4,0,437171,555038,0,0,54058,No,GB37CIER28935210809233,QJSE78218460426459
0b1c4e3d-bd97-45ce-9622-22732fcdc9a0,Fully Paid,215952,Short Term,739,1454735,< 1 year,Rent,Debt Consolidation,39277.75,13.9,,20,0,669560,1021460,0,0,106791,Yes,GB21OBCA39773489586461,SBGZ52711719617279
32c2e48f-1ba8-45e0-a530-9a6622c18d9c,Fully Paid,99999999,Short Term,728,714628,3 years,Rent,Debt Consolidation,11851.06,16,76,16,0,203965,289784,0,0,159503,No,GB69ACUY31698967090350,FSIN31544497205947
fa096848-6143-4907-b2cf-852a0b06171c,Fully Paid,541970,Short Term,,,10+ years,Home Mortgage,Home Improvements,23568.55,23.2,,23,0,60705,1634468,0,0,59727,Yes,GB39FBHQ17542355939260,THDK16706361016611
403d7235-0284-4bb6-919a-09402fecbf7b,Fully Paid,99999999,Short Term,740,776188,< 1 year,Own Home,Debt Consolidation,11578.22,8.5,25,6,0,134083,220220,0,0,193430,No,GB92PZTK40291787681541,OBNM98605338508047
01d878ae-efa2-41e2-8159-6c834ff09f47,Fully Paid,99999999,Short Term,743,1560907,4 years,Rent,Debt Consolidation,17560.37,13.3,,10,1,225549,496474,1,0,83858,No,GB66JTDT57846837474925,YLMK80589633832610
2e841c8f-3dc1-464d-91c1-3d3d51e64c38,Fully Paid,234124,Short Term,727,693234,10+ years,Rent,Debt Consolidation,14211.24,24.7,46,10,1,28291,107052,1,0,33034,Yes,GB84UXRG59416863105968,LEDX21827161399302
7cbaa3fa-16fd-4343-9bcb-e90b34a1072f,Fully Paid,449020,Long Term,,,9 years,Own Home,Debt Consolidation,18904.81,19.4,,8,0,334533,428956,0,0,56150,Yes,GB51IYZM14469703087441,VBFJ88922014790599
c9a16a9d-8801-4430-b445-dbf9cf845e31,Charged Off,653004,Long Term,,,7 years,Home Mortgage,Debt Consolidation,14537.09,20.5,,9,0,302309,413754,0,0,17901,Yes,GB45POCF37398843267726,GRJT14446669789878
24e8c8bd-d10b-4dac-8b81-1da470ff5ecb,Fully Paid,666204,Long Term,723,1821967,10+ years,Home Mortgage,Debt Consolidation,17612.24,22,34,15,0,813694,2004618,0,0,53722,No,GB34PNGW20394739863813,XMHG47590708310434
c6be21f0-80b1-46b3-8019-16646fd2137d,Fully Paid,66396,Short Term,,,10+ years,Rent,Debt Consolidation,9898.81,27.1,,23,1,9728,402380,1,0,18338,Yes,GB43UFXT62808564879588,BOFZ57013711770163
41f7dd8d-bfdd-43de-859a-2ce215aa4c07,Fully Paid,390390,Short Term,747,1791738,8 years,Home Mortgage,Home Improvements,2478.55,22.7,,6,0,121182,801812,0,0,35447,No,GB55VCDK41254130647689,RYPD26263495333967
150ebbad-ebed-441e-b70d-2f350ad7dca6,Charged Off,317108,Long Term,687,1133274,8 years,Rent,Debt Consolidation,9632.81,17.4,53,4,0,60287,126940,0,0,185269,No,GB97LOWT59307122126608,GNTS83221226591229
31ae42f6-7e92-46bf-97e9-fa25499162ba,Fully Paid,128238,Short Term,750,1354073,< 1 year,Rent,Debt Consolidation,13202.15,11.9,,7,0,131936,458788,0,0,8418,No,GB93SWSW75600172625303,QBTI83196489734249
c7e2b784-016b-4fc4-8fde-623f09126557,Charged Off,153252,Short Term,714,1890690,2 years,Rent,Debt Consolidation,21900.35,15.7,,12,0,891594,1081014,0,0,56370,Yes,GB69SFHY14246427766296,EVLK59121450246657
14c61ec2-6349-4d01-ba85-2daebfbf85d6,Fully Paid,91894,Short Term,724,850383,10+ years,Home Mortgage,Debt Consolidation,5860.74,17.5,,7,0,95608,230626,0,0,58507,No,GB72XYBO15727020915746,DQVV98581822936748
7aa649ff-b73b-4556-a4c3-a4d35762809a,Fully Paid,244926,Long Term,704,1249953,4 years,Home Mortgage,Debt Consolidation,6812.26,14.4,,6,1,143051,245014,0,1,177163,No,GB85OBXW71489399191747,KHQY25348001202497
578c8e10-3214-4491-bdbc-b1695ef8ff87,Fully Paid,465410,Long Term,688,1722654,3 years,Rent,Buy House,15647.45,22.3,30,7,0,107559,488356,0,0,34434,No,GB85BCFP66066107285189,AFNR13614233305750
0c14cb77-29a3-4964-9198-0c43f5f982b0,Fully Paid,99999999,Short Term,724,1029857,1 year,Rent,Debt Consolidation,13817.18,12,,6,0,138339,221232,0,0,53778,Yes,GB23FKIC25301935870645,VGCA25970340561118
18a7a019-6594-478c-b070-fb3b1c695587,Fully Paid,443960,Short Term,749,1432391,2 years,Home Mortgage,Debt Consolidation,25186.21,14,,15,0,342475,905344,0,0,27802,No,GB79TIBT07693658676749,OCDW57012090499623
