Cust_ID,Acc_BBAN,Subscription,Start_Dt,End_Dt,Due_Dt,Category,Amount,Payment_Freq,Subscriptions_Count
22933537019,GHSE85704796654590,Walmart,23-11-2020,26-05-2021,2nd,E-commerce,6.29,Monthly,2
22933537019,OICE68175563652528,eBay,28-07-2019,14-01-2020,3rd,E-commerce,27.44,Monthly,2
22933537019,BTUU34912202642195,Spotify,09-03-2020,04-09-2020,11th,Music,46.76,Monthly,2
22933537019,BTUU34912202642195,YouTube Music,20-03-2020,05-09-2020,8th,Music,17.54,Monthly,2
22933537019,MQHM19431561232015,Prime Video,20-10-2019,31-03-2020,4th,OTT,17.78,Monthly,3
22933537019,MQHM19431561232015,Netflix,19-10-2019,15-04-2020,25th,OTT,35.95,Monthly,3
22933537019,FTSX36605318341978,Netflix,09-09-2021,16-02-2022,12th,OTT,21.11,Monthly,3
22933537019,BTUU34912202642195,Jobcase,09-03-2020,06-09-2020,8th,Professional Networking,50.99,Monthly,4
22933537019,GHSE85704796654590,LinkedIn,13-11-2020,12-05-2021,12th,Professional Networking,29.64,Monthly,4
22933537019,FTSX36605318341978,Jobcase,14-08-2021,02-03-2022,9th,Professional Networking,26.27,Monthly,4
22933537019,RBPE11686912208572,Jobcase,26-01-2021,12-08-2021,16th,Professional Networking,42.76,Monthly,4
47245001263,YTVW25673246231897,eBay,17-02-2021,21-08-2021,19th,E-commerce,45.99,Monthly,4
47245001263,YGHY11955155632039,eBay,29-09-2020,25-03-2021,12th,E-commerce,5.65,Monthly,4
47245001263,YGHY11955155632039,Etsy,17-10-2020,13-04-2021,9th,E-commerce,38.35,Monthly,4
47245001263,STTT88392942490801,eBay,26-09-2021,28-03-2022,3rd,E-commerce,9.7,Monthly,4
47245001263,YGHY11955155632039,Amazon Music,12-10-2020,19-04-2021,9th,Music,37.45,Monthly,3
47245001263,JBDZ72117056879353,Apple Music,20-10-2019,12-04-2020,17th,Music,47.94,Monthly,3
47245001263,JBDZ72117056879353,YouTube Music,13-10-2019,10-04-2020,12th,Music,12.21,Monthly,3
47245001263,TUKJ61324922296224,HBO Max,23-10-2020,02-05-2021,17th,OTT,21.31,Monthly,4
47245001263,PGHR68099267510652,Netflix,16-08-2021,24-01-2022,1st,OTT,47.93,Monthly,4
47245001263,PGHR68099267510652,Netflix,18-08-2021,01-02-2022,2nd,OTT,31.95,Monthly,4
