Acc_BBAN,Acc_IBAN,Acc_Open_Dt,Balance,Cust_ID,Expense,Expense_Category,browser,device,dr_cr,login_time,logout_time,txn_Dt,txn_ID,txn_amount,txn_code,txn_remarks,txn_time,txn_type
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,5822.3,100001,N,Credited,SAFARI,PC,Cr,7:14:43,11:24:53,8/4/2019,49760811,466.51,1,Reduce meeting read collection interest health news. Others prevent truth argue author type others. Outside mission end foreign until.,9:22:10,NEFT
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,6288.81,100001,N,Credited,CHROME,MOBILE,Cr,11:59:09,15:18:06,8/4/2019,42666943,466.51,5,"Occur environment film method.
Box region behavior job half. But toward energy yeah wide. Opportunity coach them along sometimes treat.
Sound matter remain six analysis fast. Society idea clearly.",13:39:29,CARDS
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,6755.32,100001,N,Credited,SAFARI,POS,Cr,16:58:31,18:27:45,8/4/2019,38399527,466.51,1,"Admit space read Mrs fear. Me whether customer return close. Evening show together star single. Away newspaper four me ask offer look.
To most place wide why. Teach peace worry rate.",17:54:01,NEFT
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,7221.83,100001,N,Credited,SAFARI,MOBILE,Cr,20:43:50,22:28:44,8/4/2019,83195211,466.51,4,"Surface important challenge sport during dinner movement. Raise power late their south teach color.
Summer contain teach owner. Include subject moment yet less owner student.",21:20:11,UPI
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,5409.04,100001,Y,Household Consumables,EDGE,MOBILE,Dr,11:38:00,21:00:49,8/12/2019,84209757,1812.79,7,"Action general event. Floor certainly series option about personal class mission.
Product money budget sign gun lay risk. Cold face question task finally.",15:02:14,DD
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,6001.55,100001,N,Credited,MI,PC,Cr,3:47:43,5:55:49,8/24/2019,42376019,592.51,6,"Once approach five garden subject threat land. Real together allow dark agency. Trip property throughout me major itself painting.
Situation magazine for boy. Act bed whatever then.",5:02:24,CHEQUE
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,6594.06,100001,N,Credited,CHROME,POS,Cr,10:19:52,13:19:06,8/24/2019,4986911,592.51,6,"Everybody laugh level. Else letter when far economic role case. Own discussion week religious some six.
Fall power success out officer great seat. Surface wide like order federal.",11:52:36,CHEQUE
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,7186.57,100001,N,Credited,OPERA,MOBILE,Cr,13:13:48,15:34:09,8/24/2019,60386700,592.51,6,Low site home former detail democratic any. Loss song Mr will plant a president read. Success property want simple short.,14:27:39,CHEQUE
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,7779.08,100001,N,Credited,EDGE,MOBILE,Cr,17:02:46,19:40:03,8/24/2019,1781007,592.51,4,"Year hope about include. Industry partner Mr read. Wall future vote.
Board bed decade culture morning. Loss she room top another development.",18:58:46,UPI
RHOS43398039713911,GB61LNNL27019625918822,8/4/2019,7186.57,100001,Y,Dining,IE,PC,Dr,19:19:26,22:05:21,8/24/2019,33186894,592.51,7,"Rather energy career sound. It today stock make police popular involve world.
Because away top main. Plant out couple change. Line side about around.",20:24:41,DD
